,daily_infected,daily_dead,daily_recovered
0,25272,1546,11785.0
1,27087,2305,6484.0
2,28859,2478,6093.0
3,31281,4616,5234.0
4,32084,3879,5904.0
5,32456,1859,13591.0
6,26798,2054,7737.0
7,25329,1507,2800.0
8,27752,2264,6554.0
9,28541,2210,5564.0
10,28837,3301,4865.0
11,36200,2013,36798.0
12,32945,1826,10269.0
13,27293,1205,7172.0
14,22592,1410,8180.0
15,24512,2082,49066.0
16,27529,2488,12969.0
17,29463,1886,12969.0
18,34203,1968,10068.0
19,28885,1583,11367.0
20,25283,1386,4770.0
21,22418,1277,7028.0
22,24151,2037,2611.0
23,24381,2214,119.0
24,28395,2220,5126.0
25,27002,1525,3957.0
26,25920,1603,13541.0
27,19551,817,3635.0
28,18350,1185,16564.0
29,22235,1666,16564.0
30,20748,1696,13143.0
31,27012,1774,2984.0
32,25103,1622,4333.0
33,25035,1212,17629.0
34,19096,871,3889.0
35,21693,840,10913.0
36,20378,1474,6214.0
37,23108,1498,4920.0
38,25474,1224,4106.0
39,23906,1257,51717.0
40,21340,1077,11104.0
41,20467,646,5497.0
42,19018,540,12421.0
43,18922,696,5745.0
44,18475,1451,6606.0
45,22630,1107,8483.0
46,24428,1164,6455.0
47,24221,972,10015.0
48,19557,636,28297.0
49,20794,757,13473.0
50,21251,951,5637.0
51,19914,998,15390.0
52,21381,1015,5744.0
53,30262,1130,6704.0
54,22755,703,9143.0
55,18248,463,5518.0
56,17689,468,12155.0
57,18246,950,6333.0
58,21602,904,8649.0
59,22790,857,6788.0
60,25734,847,7094.0
61,25780,744,9220.0
62,19207,327,5210.0
63,19896,393,14518.0
64,23756,811,7169.0
65,26923,750,8688.0
66,28124,690,6924.0
67,31800,660,7600.0
68,32821,558,10745.0
69,25270,285,4673.0
70,32611,439,18065.0
71,36204,729,7350.0
72,36106,731,8613.0
73,40567,2422,7401.0
74,45948,637,7247.0
75,41664,507,8499.0
76,40901,301,5856.0
77,41599,343,20039.0
78,45193,1214,15428.0
79,51451,649,9363.0
80,55132,692,51976.0
81,53123,677,8434.0
82,45257,290,103921.0
83,49875,307,12438.0
84,46338,357,17385.0
85,60713,1139,12328.0
86,59669,777,16986.0
87,62351,1005,15649.0
88,68155,802,14074.0
89,60034,720,12391.0
90,58621,438,10750.0
91,58716,434,25613.0
92,68550,893,17159.0
93,68036,956,26784.0
94,75741,952,14763.0
95,72118,898,16559.0
96,63539,848,15516.0
97,61151,447,8401.0
98,61543,419,28966.0
99,64933,1067,21931.0
100,70310,1198,28831.0
101,68172,1093,22420.0
102,74257,1207,28355.0
103,64275,954,17790.0
104,56188,532,18449.0
105,56683,1124,27941.0
106,66733,1263,29559.0
107,71572,1376,34062.0
108,67951,1365,24730.0
109,68669,1267,24005.0
110,57240,1111,23725.0
111,45974,446,6804.0
112,46295,589,44757.0
113,59185,1309,15533.0
114,53827,1453,48872.0
115,59494,1839,20773.0
116,59611,1250,25246.0
117,55008,1062,19248.0
118,46857,521,13746.0
119,47646,627,13891.0
120,48294,1033,44205.0
121,55560,1492,38800.0
122,51226,1072,20888.0
123,65342,1338,21678.0
124,47693,1001,22201.0
125,39972,611,14540.0
126,36075,488,32513.0
127,45158,1222,32579.0
128,46648,1354,26890.0
129,43983,1104,21986.0
130,49550,1086,18021.0
131,43658,918,20428.0
132,34484,541,12277.0
133,36935,478,23013.0
134,40213,1224,32925.0
135,43577,1155,30766.0
136,45652,1125,16861.0
137,47106,976,17041.0
138,44063,916,22247.0
139,34422,435,13325.0
140,37538,496,30886.0
141,42682,1027,17838.0
142,40122,1077,29094.0
143,36919,1028,35200.0
144,50782,955,16497.0
145,43619,770,18733.0
146,31483,463,13808.0
147,24231,305,17556.0
148,26963,452,25560.0
149,34704,1182,28368.0
150,34789,917,16032.0
151,48005,1150,14367.0
152,41690,713,16780.0
153,34253,422,16748.0
154,34714,432,23164.0
155,39423,1203,20557.0
156,38457,961,30446.0
157,45328,853,14761.0
158,49470,893,16131.0
159,42899,725,20981.0
160,39496,257,13225.0
161,51922,425,25278.0
162,40251,1031,31010.0
163,37796,1057,23297.0
164,47531,893,39927.0
165,53105,941,17152.0
166,45293,764,23124.0
167,38386,302,15821.0
168,33440,345,28328.0
169,44131,876,18697.0
170,40734,969,27383.0
171,45708,877,19962.0
172,55215,838,12719.0
173,48956,692,23953.0
174,35853,369,14377.0
175,39734,476,23443.0
176,45471,691,17248.0
177,49965,908,47505.0
178,58760,982,21357.0
179,56647,962,17837.0
180,55142,653,23894.0
181,45961,448,12094.0
182,42285,390,31651.0
183,52394,808,17865.0
184,59678,991,31201.0
185,65114,824,21603.0
186,69249,930,20142.0
187,56801,735,23034.0
188,49540,450,13565.0
189,68082,473,38465.0
190,62177,924,22545.0
191,62698,1132,28206.0
192,76426,873,29702.0
193,82743,959,22371.0
194,82928,935,31229.0
195,62719,427,16222.0
196,67557,511,37577.0
197,77949,990,27211.0
198,78804,1026,30474.0
199,91478,1013,36196.0
200,99627,1037,24116.0
201,89801,944,34026.0
202,105021,499,18101.0
203,85855,534,44402.0
204,127689,1593,30149.0
205,103920,1136,38397.0
206,129469,1178,38224.0
207,128314,1250,29040.0
208,127901,1114,40674.0
209,124110,563,30026.0
210,77908,773,47354.0
211,145336,1459,33028.0
212,146649,1489,35302.0
213,164851,1373,54081.0
214,180398,1199,43890.0
215,167885,1347,53298.0
216,136200,779,37019.0
217,162570,831,59348.0
218,163899,1709,48829.0
219,173139,1915,57149.0
220,191440,2053,59920.0
221,198825,1969,47221.0
222,179412,1622,71770.0
223,146874,1036,71770.0
224,174036,1101,107087.0
225,175491,2130,63064.0
226,183606,2262,139292.0
227,112483,1385,35247.0
228,207976,1556,76243.0
229,155647,1366,75617.0
230,140292,1042,41967.0
231,160371,1344,81289.0
232,188339,2544,80262.0
233,202894,2818,95547.0
234,223421,2937,81890.0
235,232644,2697,66371.0
236,215811,2364,105637.0
237,181253,1363,48418.0
238,194409,1600,90113.0
239,224452,2621,72358.0
240,222648,3181,102981.0
241,231428,2994,95151.0
242,240089,3407,150267.0
243,217797,2478,111291.0
244,187971,1637,51477.0
245,194314,1650,101449.0
246,208992,3086,91348.0
247,246644,3678,106782.0
248,239900,3501,83990.0
249,251832,2966,74509.0
250,192102,2678,126836.0
251,188015,1731,52160.0
252,198703,1900,108658.0
253,198107,3399,83213.0
254,229624,3423,107856.0
255,194155,2896,102811.0
256,97880,1457,24586.0
257,226416,1891,111332.0
258,155845,1437,56812.0
259,174152,2002,72836.0
260,200408,3616,98750.0
261,233701,3792,105560.0
262,235600,3428,111743.0
263,153916,2135,111743.0
264,300462,2557,111743.0
265,208853,1457,43665.0
266,184005,2094,164087.0
267,235042,3690,78134.0
268,255637,3892,97576.0
269,278337,4004,113113.0
270,295257,4098,74049.0
271,260967,3305,103949.0
272,213415,2018,42023.0
273,214664,2099,116869.0
274,226967,4460,84151.0
275,230301,3994,91114.0
276,235766,3967,121083.0
277,242780,3912,61706.0
278,201858,3419,79743.0
279,177931,1901,42157.0
280,143598,1560,78939.0
281,176216,2706,109271.0
282,183261,4412,120255.0
283,193856,4186,48494.0
284,190760,3823,103663.0
285,170759,3374,70963.0
286,131198,1865,41085.0
287,151677,1974,121958.0
288,147626,4021,73793.0
289,153961,3946,100446.0
290,168804,4012,124190.0
291,166613,3644,63113.0
292,142459,2797,83548.0
293,112152,1863,41005.0
294,134975,2081,106746.0
295,115303,3420,58014.0
296,121691,3882,88093.0
297,124006,3747,132788.0
298,134422,3665,59034.0
299,104176,2686,78493.0
300,89746,1441,34548.0
301,90438,1614,83589.0
302,95265,3049,72672.0
303,95250,3304,115636.0
304,105764,3215,75273.0
305,99670,2930,57134.0
306,87219,2198,62913.0
307,65135,1172,31058.0
308,54279,963,81681.0
309,62498,1746,46858.0
310,70139,2396,57393.0
311,69911,2514,73399.0
312,79282,2625,34976.0
313,71696,1837,67658.0
314,57152,1238,21900.0
315,56159,1313,51251.0
316,72270,2275,51251.0
317,74749,3183,67265.0
318,77504,2433,56971.0
319,77349,2078,31456.0
320,64625,1521,53112.0
321,51421,1092,21572.0
322,58100,1516,29063.0
323,57098,1941,31462.0
324,67191,2481,31595.0
325,68060,1922,45523.0
326,66419,1803,26651.0
327,58254,1510,0.0
328,41073,703,0.0
329,44917,736,0.0
330,57667,1805,0.0
331,57895,1570,0.0
332,62471,1558,0.0
333,61513,1545,0.0
334,53031,1031,0.0
335,38278,585,0.0
336,56541,748,0.0
337,54008,1179,0.0
338,59280,1227,0.0
339,60375,1646,0.0
340,61651,1127,0.0
341,55519,740,0.0
342,33822,488,0.0
343,51436,721,0.0
344,53688,875,0.0
345,86938,1510,0.0
346,67546,1400,0.0
347,77377,1151,0.0
348,62842,796,0.0
349,43223,525,0.0
350,69273,704,0.0
351,61429,883,0.0
352,66765,1078,0.0
353,79119,1077,0.0
354,69887,954,0.0
355,63261,751,0.0
356,35133,297,0.0
357,77404,505,0.0
358,60674,860,0.0
359,75021,2593,0.0
360,79894,1028,0.0
361,82710,891,0.0
362,66685,712,0.0
363,46507,305,0.0
364,70079,474,0.0
365,77966,831,0.0
366,75403,956,0.0
367,74308,906,0.0
368,80071,879,0.0
369,52532,700,0.0
370,42121,338,0.0
371,68105,497,0.0
372,60949,843,0.0
373,62855,860,0.0
374,67278,968,0.0
375,62411,778,0.0
376,53495,751,0.0
377,32153,293,0.0
378,47568,490,0.0
379,50836,654,0.0
380,55150,968,0.0
381,58251,877,0.0
382,57919,750,0.0
383,45391,716,0.0
384,29403,340,0.0
385,50491,500,0.0
386,40723,874,0.0
387,44704,795,0.0
388,47557,798,0.0
389,48130,759,0.0
390,33675,631,0.0
391,21427,249,0.0
392,36798,412,0.0
393,33662,688,0.0
394,35826,768,0.0
395,38076,766,0.0
396,42260,656,0.0
397,28857,500,0.0
398,16875,277,0.0
399,28621,396,0.0
400,27789,771,0.0
401,29301,677,0.0
402,30206,677,0.0
403,27946,616,0.0
404,19798,498,0.0
405,12868,198,0.0
406,25815,446,0.0
407,22739,634,0.0
408,23976,979,0.0
409,27448,1362,0.0
410,21859,563,0.0
411,12001,333,0.0
412,6734,135,0.0
413,5775,153,0.0
414,22940,650,0.0
415,16917,559,0.0
416,19080,619,0.0
417,16850,527,0.0
418,13906,384,0.0
419,5395,172,0.0
420,15496,318,0.0
421,13013,342,0.0
422,18647,451,0.0
423,14545,433,0.0
424,24699,651,0.0
425,8228,294,0.0
426,4777,114,0.0
427,12730,180,0.0
428,11305,321,0.0
429,12425,378,0.0
430,10393,286,0.0
431,20591,600,0.0
432,8520,173,0.0
433,3892,89,0.0
434,12334,276,0.0
435,10940,328,0.0
436,12436,381,0.0
437,12830,345,0.0
438,23715,498,0.0
439,7303,150,0.0
440,3920,77,0.0
441,15083,154,0.0
442,11350,318,0.0
443,13118,251,0.0
444,14463,310,0.0
445,29892,476,0.0
446,4739,82,0.0
447,3697,37,0.0
448,5528,51,0.0
449,24224,341,0.0
450,22931,295,0.0
451,20061,260,0.0
452,48241,507,0.0
453,9038,140,0.0
454,6164,32,0.0
455,35013,245,0.0
456,26424,358,0.0
457,31845,335,0.0
458,28412,286,0.0
459,79310,394,0.0
460,12960,74,0.0
461,12048,141,0.0
462,52111,218,0.0
463,42703,291,0.0
464,52032,337,0.0
465,56842,331,0.0
466,119158,527,0.0
467,27802,119,0.0
468,13213,43,0.0
469,89358,275,0.0
470,70740,443,0.0
471,68771,389,0.0
472,78170,323,0.0
473,194608,894,0.0
474,32808,148,0.0
475,25141,72,0.0
476,127976,452,0.0
477,106557,581,0.0
478,92714,492,0.0
479,109824,537,0.0
480,254981,1148,0.0
481,44082,225,0.0
482,24234,112,0.0
483,184403,494,0.0
484,106814,794,0.0
485,135177,342,0.0
486,116545,614,0.0
487,290840,1889,0.0
488,42707,237,0.0
489,38482,170,0.0
490,210168,686,0.0
491,128933,1001,0.0
492,137815,1146,0.0
493,138472,908,0.0
